        Reconditioner Logfile - post_mapping - project_top
        __________________________________________________

ACE -- Achronix CAD Environment -- Version 9.0.1 -- Build  405518 -- Date 2023-03-01 00:42

Design: vp_project - impl_1 - project_top
Device: AC7t1500
Generated on Mon May 15 11:07:11 PDT 2023
INFO: Disconnected unnecessary SOURCE1_T Vdd_src1_1 from LUT6_T debugger.x_snapshot.x_monitor.x_all_triggers.eval_trigger_3__x_trigger.x_bit_match_28_.edge_trigger.prev_ok_ctrl_RR_RULE1_/pin:din4
INFO: Disconnected unnecessary SOURCE1_T Vdd_src1_1 from LUT6_T debugger.x_snapshot.x_monitor.x_all_triggers.eval_trigger_3__x_trigger.x_bit_match_28_.edge_trigger.prev_ok_ctrl_RR_RULE1_/pin:din5
INFO: Disconnected unnecessary SOURCE1_T Vdd_src1_1 from LUT6_T debugger.x_snapshot.x_monitor.x_all_triggers.eval_trigger_3__x_trigger.x_bit_match_27_.edge_trigger.prev_ok_ctrl_RR_RULE1_/pin:din3
INFO: Disconnected unnecessary SOURCE1_T Vdd_src1_1 from LUT6_T debugger.x_snapshot.x_monitor.x_all_triggers.eval_trigger_3__x_trigger.x_bit_match_27_.edge_trigger.prev_ok_ctrl_RR_RULE1_/pin:din4
INFO: Disconnected unnecessary SOURCE1_T Vdd_src1_1 from LUT6_T debugger.x_snapshot.x_monitor.x_all_triggers.eval_trigger_3__x_trigger.x_bit_match_27_.edge_trigger.prev_ok_ctrl_RR_RULE1_/pin:din5
INFO: Disconnected unnecessary SOURCE1_T Vdd_src1_1 from LUT6_T debugger.x_snapshot.x_monitor.x_all_triggers.eval_trigger_3__x_trigger.x_bit_match_26_.edge_trigger.prev_ok_ctrl_RR_RULE1_/pin:din3
INFO: Disconnected unnecessary SOURCE1_T Vdd_src1_1 from LUT6_T debugger.x_snapshot.x_monitor.x_all_triggers.eval_trigger_3__x_trigger.x_bit_match_26_.edge_trigger.prev_ok_ctrl_RR_RULE1_/pin:din4
INFO: Disconnected unnecessary SOURCE1_T Vdd_src1_1 from LUT6_T debugger.x_snapshot.x_monitor.x_all_triggers.eval_trigger_3__x_trigger.x_bit_match_26_.edge_trigger.prev_ok_ctrl_RR_RULE1_/pin:din5
INFO: Disconnected unnecessary SOURCE1_T Vdd_src1_1 from LUT6_T debugger.x_snapshot.x_monitor.x_all_triggers.eval_trigger_3__x_trigger.x_bit_match_25_.edge_trigger.prev_ok_ctrl_RR_RULE1_/pin:din3
INFO: Disconnected unnecessary SOURCE1_T Vdd_src1_1 from LUT6_T debugger.x_snapshot.x_monitor.x_all_triggers.eval_trigger_3__x_trigger.x_bit_match_25_.edge_trigger.prev_ok_ctrl_RR_RULE1_/pin:din4
INFO: Disconnected unnecessary SOURCE1_T Vdd_src1_1 from LUT6_T debugger.x_snapshot.x_monitor.x_all_triggers.eval_trigger_3__x_trigger.x_bit_match_25_.edge_trigger.prev_ok_ctrl_RR_RULE1_/pin:din5
INFO: Disconnected unnecessary SOURCE1_T Vdd_src1_1 from LUT6_T debugger.x_snapshot.x_monitor.x_all_triggers.eval_trigger_3__x_trigger.x_bit_match_24_.edge_trigger.prev_ok_ctrl_RR_RULE1_/pin:din3
INFO: Disconnected unnecessary SOURCE1_T Vdd_src1_1 from LUT6_T debugger.x_snapshot.x_monitor.x_all_triggers.eval_trigger_3__x_trigger.x_bit_match_24_.edge_trigger.prev_ok_ctrl_RR_RULE1_/pin:din4
INFO: Disconnected unnecessary SOURCE1_T Vdd_src1_1 from LUT6_T debugger.x_snapshot.x_monitor.x_all_triggers.eval_trigger_3__x_trigger.x_bit_match_24_.edge_trigger.prev_ok_ctrl_RR_RULE1_/pin:din5
INFO: Disconnected unnecessary SOURCE1_T Vdd_src1_1 from LUT6_T debugger.x_snapshot.x_monitor.x_all_triggers.eval_trigger_3__x_trigger.x_bit_match_23_.edge_trigger.prev_ok_ctrl_RR_RULE1_/pin:din3
INFO: Disconnected unnecessary SOURCE1_T Vdd_src1_1 from LUT6_T debugger.x_snapshot.x_monitor.x_all_triggers.eval_trigger_3__x_trigger.x_bit_match_23_.edge_trigger.prev_ok_ctrl_RR_RULE1_/pin:din4
INFO: Disconnected unnecessary SOURCE1_T Vdd_src1_1 from LUT6_T debugger.x_snapshot.x_monitor.x_all_triggers.eval_trigger_3__x_trigger.x_bit_match_23_.edge_trigger.prev_ok_ctrl_RR_RULE1_/pin:din5
INFO: Disconnected unnecessary SOURCE1_T Vdd_src1_1 from LUT6_T debugger.x_snapshot.x_monitor.x_all_triggers.eval_trigger_3__x_trigger.x_bit_match_22_.edge_trigger.prev_ok_ctrl_RR_RULE1_/pin:din3
INFO: Disconnected unnecessary SOURCE1_T Vdd_src1_1 from LUT6_T debugger.x_snapshot.x_monitor.x_all_triggers.eval_trigger_3__x_trigger.x_bit_match_22_.edge_trigger.prev_ok_ctrl_RR_RULE1_/pin:din4
INFO: Disconnected unnecessary SOURCE1_T Vdd_src1_1 from LUT6_T debugger.x_snapshot.x_monitor.x_all_triggers.eval_trigger_3__x_trigger.x_bit_match_22_.edge_trigger.prev_ok_ctrl_RR_RULE1_/pin:din5
INFO: Disconnected unnecessary SOURCE1_T Vdd_src1_1 from LUT6_T debugger.x_snapshot.x_monitor.x_all_triggers.eval_trigger_3__x_trigger.x_bit_match_21_.edge_trigger.prev_ok_ctrl_RR_RULE1_/pin:din3
INFO: Disconnected unnecessary SOURCE1_T Vdd_src1_1 from LUT6_T debugger.x_snapshot.x_monitor.x_all_triggers.eval_trigger_3__x_trigger.x_bit_match_21_.edge_trigger.prev_ok_ctrl_RR_RULE1_/pin:din4
INFO: Disconnected unnecessary SOURCE1_T Vdd_src1_1 from LUT6_T debugger.x_snapshot.x_monitor.x_all_triggers.eval_trigger_3__x_trigger.x_bit_match_21_.edge_trigger.prev_ok_ctrl_RR_RULE1_/pin:din5
INFO: Disconnected unnecessary SOURCE1_T Vdd_src1_1 from LUT6_T debugger.x_snapshot.x_monitor.x_all_triggers.eval_trigger_3__x_trigger.x_bit_match_20_.edge_trigger.prev_ok_ctrl_RR_RULE1_/pin:din3
INFO: Disconnected unnecessary SOURCE1_T Vdd_src1_1 from LUT6_T debugger.x_snapshot.x_monitor.x_all_triggers.eval_trigger_3__x_trigger.x_bit_match_20_.edge_trigger.prev_ok_ctrl_RR_RULE1_/pin:din4
INFO: Disconnected unnecessary SOURCE1_T Vdd_src1_1 from LUT6_T debugger.x_snapshot.x_monitor.x_all_triggers.eval_trigger_3__x_trigger.x_bit_match_20_.edge_trigger.prev_ok_ctrl_RR_RULE1_/pin:din5
INFO: Disconnected unnecessary SOURCE1_T Vdd_src1_1 from LUT6_T debugger.x_snapshot.x_monitor.x_all_triggers.eval_trigger_3__x_trigger.x_bit_match_19_.edge_trigger.prev_ok_ctrl_RR_RULE1_/pin:din3
INFO: Disconnected unnecessary SOURCE1_T Vdd_src1_1 from LUT6_T debugger.x_snapshot.x_monitor.x_all_triggers.eval_trigger_3__x_trigger.x_bit_match_19_.edge_trigger.prev_ok_ctrl_RR_RULE1_/pin:din4
INFO: Disconnected unnecessary SOURCE1_T Vdd_src1_1 from LUT6_T debugger.x_snapshot.x_monitor.x_all_triggers.eval_trigger_3__x_trigger.x_bit_match_19_.edge_trigger.prev_ok_ctrl_RR_RULE1_/pin:din5
INFO: Disconnected unnecessary SOURCE1_T Vdd_src1_1 from LUT6_T debugger.x_snapshot.x_monitor.x_all_triggers.eval_trigger_3__x_trigger.x_bit_match_18_.edge_trigger.prev_ok_ctrl_RR_RULE1_/pin:din3
INFO: Disconnected unnecessary SOURCE1_T Vdd_src1_1 from LUT6_T debugger.x_snapshot.x_monitor.x_all_triggers.eval_trigger_3__x_trigger.x_bit_match_18_.edge_trigger.prev_ok_ctrl_RR_RULE1_/pin:din4
INFO: Disconnected unnecessary SOURCE1_T Vdd_src1_1 from LUT6_T debugger.x_snapshot.x_monitor.x_all_triggers.eval_trigger_3__x_trigger.x_bit_match_18_.edge_trigger.prev_ok_ctrl_RR_RULE1_/pin:din5
INFO: Disconnected unnecessary SOURCE1_T Vdd_src1_1 from LUT6_T debugger.x_snapshot.x_monitor.x_all_triggers.eval_trigger_3__x_trigger.x_bit_match_17_.edge_trigger.prev_ok_ctrl_RR_RULE1_/pin:din3
INFO: Disconnected unnecessary SOURCE1_T Vdd_src1_1 from LUT6_T debugger.x_snapshot.x_monitor.x_all_triggers.eval_trigger_3__x_trigger.x_bit_match_17_.edge_trigger.prev_ok_ctrl_RR_RULE1_/pin:din4
INFO: Disconnected unnecessary SOURCE1_T Vdd_src1_1 from LUT6_T debugger.x_snapshot.x_monitor.x_all_triggers.eval_trigger_3__x_trigger.x_bit_match_17_.edge_trigger.prev_ok_ctrl_RR_RULE1_/pin:din5
INFO: Disconnected unnecessary SOURCE1_T Vdd_src1_1 from LUT6_T debugger.x_snapshot.x_monitor.x_all_triggers.eval_trigger_3__x_trigger.x_bit_match_16_.edge_trigger.prev_ok_ctrl_RR_RULE1_/pin:din3
INFO: Disconnected unnecessary SOURCE1_T Vdd_src1_1 from LUT6_T debugger.x_snapshot.x_monitor.x_all_triggers.eval_trigger_3__x_trigger.x_bit_match_16_.edge_trigger.prev_ok_ctrl_RR_RULE1_/pin:din4
INFO: Disconnected unnecessary SOURCE1_T Vdd_src1_1 from LUT6_T debugger.x_snapshot.x_monitor.x_all_triggers.eval_trigger_3__x_trigger.x_bit_match_16_.edge_trigger.prev_ok_ctrl_RR_RULE1_/pin:din5
INFO: Disconnected unnecessary SOURCE1_T Vdd_src1_1 from LUT6_T debugger.x_snapshot.x_monitor.x_all_triggers.eval_trigger_3__x_trigger.x_bit_match_15_.edge_trigger.prev_ok_ctrl_RR_RULE1_/pin:din3
INFO: Disconnected unnecessary SOURCE1_T Vdd_src1_1 from LUT6_T debugger.x_snapshot.x_monitor.x_all_triggers.eval_trigger_3__x_trigger.x_bit_match_15_.edge_trigger.prev_ok_ctrl_RR_RULE1_/pin:din4
INFO: Disconnected unnecessary SOURCE1_T Vdd_src1_1 from LUT6_T debugger.x_snapshot.x_monitor.x_all_triggers.eval_trigger_3__x_trigger.x_bit_match_15_.edge_trigger.prev_ok_ctrl_RR_RULE1_/pin:din5
INFO: Disconnected unnecessary SOURCE1_T Vdd_src1_1 from LUT6_T debugger.x_snapshot.x_monitor.x_all_triggers.eval_trigger_3__x_trigger.x_bit_match_14_.edge_trigger.prev_ok_ctrl_RR_RULE1_/pin:din3
INFO: Disconnected unnecessary SOURCE1_T Vdd_src1_1 from LUT6_T debugger.x_snapshot.x_monitor.x_all_triggers.eval_trigger_3__x_trigger.x_bit_match_14_.edge_trigger.prev_ok_ctrl_RR_RULE1_/pin:din4
INFO: Disconnected unnecessary SOURCE1_T Vdd_src1_1 from LUT6_T debugger.x_snapshot.x_monitor.x_all_triggers.eval_trigger_3__x_trigger.x_bit_match_14_.edge_trigger.prev_ok_ctrl_RR_RULE1_/pin:din5
INFO: Disconnected unnecessary SOURCE1_T Vdd_src1_1 from LUT6_T debugger.x_snapshot.x_monitor.x_all_triggers.eval_trigger_3__x_trigger.x_bit_match_13_.edge_trigger.prev_ok_ctrl_RR_RULE1_/pin:din3
INFO: Disconnected unnecessary SOURCE1_T Vdd_src1_1 from LUT6_T debugger.x_snapshot.x_monitor.x_all_triggers.eval_trigger_3__x_trigger.x_bit_match_13_.edge_trigger.prev_ok_ctrl_RR_RULE1_/pin:din4
INFO: Disconnected unnecessary SOURCE1_T Vdd_src1_1 from LUT6_T debugger.x_snapshot.x_monitor.x_all_triggers.eval_trigger_3__x_trigger.x_bit_match_13_.edge_trigger.prev_ok_ctrl_RR_RULE1_/pin:din5
INFO: Disconnected unnecessary SOURCE1_T Vdd_src1_1 from LUT6_T debugger.x_snapshot.x_monitor.x_all_triggers.eval_trigger_3__x_trigger.x_bit_match_12_.edge_trigger.prev_ok_ctrl_RR_RULE1_/pin:din3
INFO: Disconnected unnecessary SOURCE1_T Vdd_src1_1 from LUT6_T debugger.x_snapshot.x_monitor.x_all_triggers.eval_trigger_3__x_trigger.x_bit_match_12_.edge_trigger.prev_ok_ctrl_RR_RULE1_/pin:din4
INFO: Disconnected unnecessary SOURCE1_T Vdd_src1_1 from LUT6_T debugger.x_snapshot.x_monitor.x_all_triggers.eval_trigger_3__x_trigger.x_bit_match_12_.edge_trigger.prev_ok_ctrl_RR_RULE1_/pin:din5
INFO: Disconnected unnecessary SOURCE1_T Vdd_src1_1 from LUT6_T debugger.x_snapshot.x_monitor.x_all_triggers.eval_trigger_3__x_trigger.x_bit_match_11_.edge_trigger.prev_ok_ctrl_RR_RULE1_/pin:din3
INFO: Disconnected unnecessary SOURCE1_T Vdd_src1_1 from LUT6_T debugger.x_snapshot.x_monitor.x_all_triggers.eval_trigger_3__x_trigger.x_bit_match_11_.edge_trigger.prev_ok_ctrl_RR_RULE1_/pin:din4
INFO: Disconnected unnecessary SOURCE1_T Vdd_src1_1 from LUT6_T debugger.x_snapshot.x_monitor.x_all_triggers.eval_trigger_3__x_trigger.x_bit_match_11_.edge_trigger.prev_ok_ctrl_RR_RULE1_/pin:din5
INFO: Disconnected unnecessary SOURCE1_T Vdd_src1_1 from LUT6_T debugger.x_snapshot.x_monitor.x_all_triggers.eval_trigger_3__x_trigger.x_bit_match_10_.edge_trigger.prev_ok_ctrl_RR_RULE1_/pin:din3
INFO: Disconnected unnecessary SOURCE1_T Vdd_src1_1 from LUT6_T debugger.x_snapshot.x_monitor.x_all_triggers.eval_trigger_3__x_trigger.x_bit_match_10_.edge_trigger.prev_ok_ctrl_RR_RULE1_/pin:din4
INFO: Disconnected unnecessary SOURCE1_T Vdd_src1_1 from LUT6_T debugger.x_snapshot.x_monitor.x_all_triggers.eval_trigger_3__x_trigger.x_bit_match_10_.edge_trigger.prev_ok_ctrl_RR_RULE1_/pin:din5
INFO: Disconnected unnecessary SOURCE1_T Vdd_src1_1 from LUT6_T debugger.x_snapshot.x_monitor.x_all_triggers.eval_trigger_3__x_trigger.x_bit_match_9_.edge_trigger.prev_ok_ctrl_RR_RULE1_/pin:din3
INFO: Disconnected unnecessary SOURCE1_T Vdd_src1_1 from LUT6_T debugger.x_snapshot.x_monitor.x_all_triggers.eval_trigger_3__x_trigger.x_bit_match_9_.edge_trigger.prev_ok_ctrl_RR_RULE1_/pin:din4
INFO: Disconnected unnecessary SOURCE1_T Vdd_src1_1 from LUT6_T debugger.x_snapshot.x_monitor.x_all_triggers.eval_trigger_3__x_trigger.x_bit_match_9_.edge_trigger.prev_ok_ctrl_RR_RULE1_/pin:din5
INFO: Disconnected unnecessary SOURCE1_T Vdd_src1_1 from LUT6_T debugger.x_snapshot.x_monitor.x_all_triggers.eval_trigger_3__x_trigger.x_bit_match_8_.edge_trigger.prev_ok_ctrl_RR_RULE1_/pin:din3
INFO: Disconnected unnecessary SOURCE1_T Vdd_src1_1 from LUT6_T debugger.x_snapshot.x_monitor.x_all_triggers.eval_trigger_3__x_trigger.x_bit_match_8_.edge_trigger.prev_ok_ctrl_RR_RULE1_/pin:din4
INFO: Disconnected unnecessary SOURCE1_T Vdd_src1_1 from LUT6_T debugger.x_snapshot.x_monitor.x_all_triggers.eval_trigger_3__x_trigger.x_bit_match_8_.edge_trigger.prev_ok_ctrl_RR_RULE1_/pin:din5
INFO: Disconnected unnecessary SOURCE1_T Vdd_src1_1 from LUT6_T debugger.x_snapshot.x_monitor.x_all_triggers.eval_trigger_3__x_trigger.x_bit_match_7_.edge_trigger.prev_ok_ctrl_RR_RULE1_/pin:din3
INFO: Disconnected unnecessary SOURCE1_T Vdd_src1_1 from LUT6_T debugger.x_snapshot.x_monitor.x_all_triggers.eval_trigger_3__x_trigger.x_bit_match_7_.edge_trigger.prev_ok_ctrl_RR_RULE1_/pin:din4
INFO: Disconnected unnecessary SOURCE1_T Vdd_src1_1 from LUT6_T debugger.x_snapshot.x_monitor.x_all_triggers.eval_trigger_3__x_trigger.x_bit_match_7_.edge_trigger.prev_ok_ctrl_RR_RULE1_/pin:din5
INFO: Disconnected unnecessary SOURCE1_T Vdd_src1_1 from LUT6_T debugger.x_snapshot.x_monitor.x_all_triggers.eval_trigger_3__x_trigger.x_bit_match_6_.edge_trigger.prev_ok_ctrl_RR_RULE1_/pin:din3
INFO: Disconnected unnecessary SOURCE1_T Vdd_src1_1 from LUT6_T debugger.x_snapshot.x_monitor.x_all_triggers.eval_trigger_3__x_trigger.x_bit_match_6_.edge_trigger.prev_ok_ctrl_RR_RULE1_/pin:din4
INFO: Disconnected unnecessary SOURCE1_T Vdd_src1_1 from LUT6_T debugger.x_snapshot.x_monitor.x_all_triggers.eval_trigger_3__x_trigger.x_bit_match_6_.edge_trigger.prev_ok_ctrl_RR_RULE1_/pin:din5
INFO: Disconnected unnecessary SOURCE1_T Vdd_src1_1 from LUT6_T debugger.x_snapshot.x_monitor.x_all_triggers.eval_trigger_3__x_trigger.x_bit_match_5_.edge_trigger.prev_ok_ctrl_RR_RULE1_/pin:din3
INFO: Disconnected unnecessary SOURCE1_T Vdd_src1_1 from LUT6_T debugger.x_snapshot.x_monitor.x_all_triggers.eval_trigger_3__x_trigger.x_bit_match_5_.edge_trigger.prev_ok_ctrl_RR_RULE1_/pin:din4
INFO: Disconnected unnecessary SOURCE1_T Vdd_src1_1 from LUT6_T debugger.x_snapshot.x_monitor.x_all_triggers.eval_trigger_3__x_trigger.x_bit_match_5_.edge_trigger.prev_ok_ctrl_RR_RULE1_/pin:din5
INFO: Disconnected unnecessary SOURCE1_T Vdd_src1_1 from LUT6_T debugger.x_snapshot.x_monitor.x_all_triggers.eval_trigger_3__x_trigger.x_bit_match_4_.edge_trigger.prev_ok_ctrl_RR_RULE1_/pin:din3
INFO: Disconnected unnecessary SOURCE1_T Vdd_src1_1 from LUT6_T debugger.x_snapshot.x_monitor.x_all_triggers.eval_trigger_3__x_trigger.x_bit_match_4_.edge_trigger.prev_ok_ctrl_RR_RULE1_/pin:din4
INFO: Disconnected unnecessary SOURCE1_T Vdd_src1_1 from LUT6_T debugger.x_snapshot.x_monitor.x_all_triggers.eval_trigger_3__x_trigger.x_bit_match_4_.edge_trigger.prev_ok_ctrl_RR_RULE1_/pin:din5
INFO: Disconnected unnecessary SOURCE1_T Vdd_src1_1 from LUT6_T debugger.x_snapshot.x_monitor.x_all_triggers.eval_trigger_3__x_trigger.x_bit_match_3_.edge_trigger.prev_ok_ctrl_RR_RULE1_/pin:din3
INFO: Disconnected unnecessary SOURCE1_T Vdd_src1_1 from LUT6_T debugger.x_snapshot.x_monitor.x_all_triggers.eval_trigger_3__x_trigger.x_bit_match_3_.edge_trigger.prev_ok_ctrl_RR_RULE1_/pin:din4
INFO: Disconnected unnecessary SOURCE1_T Vdd_src1_1 from LUT6_T debugger.x_snapshot.x_monitor.x_all_triggers.eval_trigger_3__x_trigger.x_bit_match_3_.edge_trigger.prev_ok_ctrl_RR_RULE1_/pin:din5
INFO: Disconnected unnecessary SOURCE1_T Vdd_src1_1 from LUT6_T debugger.x_snapshot.x_monitor.x_all_triggers.eval_trigger_3__x_trigger.x_bit_match_2_.edge_trigger.prev_ok_ctrl_RR_RULE1_/pin:din3
INFO: Disconnected unnecessary SOURCE1_T Vdd_src1_1 from LUT6_T debugger.x_snapshot.x_monitor.x_all_triggers.eval_trigger_3__x_trigger.x_bit_match_2_.edge_trigger.prev_ok_ctrl_RR_RULE1_/pin:din4
INFO: Disconnected unnecessary SOURCE1_T Vdd_src1_1 from LUT6_T debugger.x_snapshot.x_monitor.x_all_triggers.eval_trigger_3__x_trigger.x_bit_match_2_.edge_trigger.prev_ok_ctrl_RR_RULE1_/pin:din5
INFO: Disconnected unnecessary SOURCE1_T Vdd_src1_1 from LUT6_T debugger.x_snapshot.x_monitor.x_all_triggers.eval_trigger_3__x_trigger.x_bit_match_1_.edge_trigger.prev_ok_ctrl_RR_RULE1_/pin:din3
INFO: Disconnected unnecessary SOURCE1_T Vdd_src1_1 from LUT6_T debugger.x_snapshot.x_monitor.x_all_triggers.eval_trigger_3__x_trigger.x_bit_match_1_.edge_trigger.prev_ok_ctrl_RR_RULE1_/pin:din4
INFO: Disconnected unnecessary SOURCE1_T Vdd_src1_1 from LUT6_T debugger.x_snapshot.x_monitor.x_all_triggers.eval_trigger_3__x_trigger.x_bit_match_1_.edge_trigger.prev_ok_ctrl_RR_RULE1_/pin:din5
INFO: Disconnected unnecessary SOURCE1_T Vdd_src1_1 from LUT6_T debugger.x_snapshot.x_monitor.x_all_triggers.eval_trigger_3__x_trigger.trigger_match_part_2__ctrl_RR_RULE1_/pin:din5
INFO: Disconnected unnecessary SOURCE1_T Vdd_src1_1 from LUT6_T debugger.x_snapshot.x_monitor.x_all_triggers.eval_trigger_3__x_trigger.x_bit_match_0_.edge_trigger.prev_ok_ctrl_RR_RULE1_/pin:din3
INFO: Disconnected unnecessary SOURCE1_T Vdd_src1_1 from LUT6_T debugger.x_snapshot.x_monitor.x_all_triggers.eval_trigger_3__x_trigger.x_bit_match_0_.edge_trigger.prev_ok_ctrl_RR_RULE1_/pin:din4
INFO: Disconnected unnecessary SOURCE1_T Vdd_src1_1 from LUT6_T debugger.x_snapshot.x_monitor.x_all_triggers.eval_trigger_3__x_trigger.x_bit_match_0_.edge_trigger.prev_ok_ctrl_RR_RULE1_/pin:din5
INFO: Disconnected unnecessary SOURCE1_T Vdd_src1_1 from LUT6_T debugger.x_snapshot.x_monitor.x_all_triggers.eval_trigger_2__x_trigger.trigger_match_part_0__ctrl_RR_RULE1_/pin:din5
INFO: Disconnected unnecessary SOURCE1_T Vdd_src1_1 from LUT6_T debugger.x_snapshot.x_monitor.x_all_triggers.eval_trigger_2__x_trigger.x_bit_match_39_.edge_trigger.prev_ok_ctrl_RR_RULE1_/pin:din2
INFO: Disconnected unnecessary SOURCE1_T Vdd_src1_1 from LUT6_T debugger.x_snapshot.x_monitor.x_all_triggers.eval_trigger_2__x_trigger.x_bit_match_39_.edge_trigger.prev_ok_ctrl_RR_RULE1_/pin:din3
INFO: Disconnected unnecessary SOURCE1_T Vdd_src1_1 from LUT6_T debugger.x_snapshot.x_monitor.x_all_triggers.eval_trigger_2__x_trigger.x_bit_match_39_.edge_trigger.prev_ok_ctrl_RR_RULE1_/pin:din4
INFO: Disconnected unnecessary SOURCE1_T Vdd_src1_1 from LUT6_T debugger.x_snapshot.x_monitor.x_all_triggers.eval_trigger_2__x_trigger.x_bit_match_39_.edge_trigger.prev_ok_ctrl_RR_RULE1_/pin:din5
INFO: Disconnected unnecessary SOURCE1_T Vdd_src1_1 from LUT6_T debugger.x_snapshot.x_monitor.x_all_triggers.eval_trigger_1__x_trigger.trigger_match_part_2__ctrl_RR_RULE1_/pin:din5
INFO: Disconnected unnecessary SOURCE1_T Vdd_src1_1 from LUT6_T debugger.x_snapshot.x_monitor.x_all_triggers.eval_trigger_2__x_trigger.x_bit_match_0_.r_ctrl_RR_RULE1_/pin:din5
INFO: Disconnected unnecessary SOURCE1_T Vdd_src1_1 from LUT6_T debugger.x_snapshot.x_monitor.x_all_triggers.eval_trigger_2__x_trigger.x_bit_match_1_.r_ctrl_RR_RULE1_/pin:din5
INFO: Disconnected unnecessary SOURCE1_T Vdd_src1_1 from LUT6_T debugger.x_snapshot.x_monitor.x_all_triggers.eval_trigger_2__x_trigger.x_bit_match_2_.r_ctrl_RR_RULE1_/pin:din5
INFO: Disconnected unnecessary SOURCE1_T Vdd_src1_1 from LUT6_T debugger.x_snapshot.x_monitor.x_all_triggers.eval_trigger_2__x_trigger.x_bit_match_3_.r_ctrl_RR_RULE1_/pin:din5
INFO: Disconnected unnecessary SOURCE1_T Vdd_src1_1 from LUT6_T debugger.x_snapshot.x_monitor.x_all_triggers.eval_trigger_2__x_trigger.x_bit_match_4_.r_ctrl_RR_RULE1_/pin:din5
INFO: Disconnected unnecessary SOURCE1_T Vdd_src1_1 from LUT6_T debugger.x_snapshot.x_monitor.x_all_triggers.eval_trigger_2__x_trigger.x_bit_match_5_.r_ctrl_RR_RULE1_/pin:din5
INFO: Disconnected unnecessary SOURCE1_T Vdd_src1_1 from LUT6_T debugger.x_snapshot.x_monitor.x_all_triggers.eval_trigger_2__x_trigger.x_bit_match_6_.r_ctrl_RR_RULE1_/pin:din5
INFO: Disconnected unnecessary SOURCE1_T Vdd_src1_1 from LUT6_T debugger.x_snapshot.x_monitor.x_all_triggers.eval_trigger_2__x_trigger.x_bit_match_7_.r_ctrl_RR_RULE1_/pin:din5
INFO: Disconnected unnecessary SOURCE1_T Vdd_src1_1 from LUT6_T debugger.x_snapshot.x_monitor.x_all_triggers.eval_trigger_2__x_trigger.x_bit_match_8_.r_ctrl_RR_RULE1_/pin:din5
INFO: Disconnected unnecessary SOURCE1_T Vdd_src1_1 from LUT6_T debugger.x_snapshot.x_monitor.x_all_triggers.eval_trigger_2__x_trigger.x_bit_match_9_.r_ctrl_RR_RULE1_/pin:din5
INFO: Disconnected unnecessary SOURCE1_T Vdd_src1_1 from LUT6_T debugger.x_snapshot.x_monitor.x_all_triggers.eval_trigger_2__x_trigger.x_bit_match_10_.r_ctrl_RR_RULE1_/pin:din5
INFO: Disconnected unnecessary SOURCE1_T Vdd_src1_1 from LUT6_T debugger.x_snapshot.x_monitor.x_all_triggers.eval_trigger_2__x_trigger.x_bit_match_11_.r_ctrl_RR_RULE1_/pin:din5
INFO: Disconnected unnecessary SOURCE1_T Vdd_src1_1 from LUT6_T debugger.x_snapshot.x_monitor.x_all_triggers.eval_trigger_2__x_trigger.x_bit_match_12_.r_ctrl_RR_RULE1_/pin:din5
INFO: Disconnected unnecessary SOURCE1_T Vdd_src1_1 from LUT6_T debugger.x_snapshot.x_monitor.x_all_triggers.eval_trigger_2__x_trigger.x_bit_match_13_.r_ctrl_RR_RULE1_/pin:din5
INFO: Disconnected unnecessary SOURCE1_T Vdd_src1_1 from LUT6_T debugger.x_snapshot.x_monitor.x_all_triggers.eval_trigger_2__x_trigger.x_bit_match_14_.r_ctrl_RR_RULE1_/pin:din5
INFO: Disconnected unnecessary SOURCE1_T Vdd_src1_1 from LUT6_T debugger.x_snapshot.x_monitor.x_all_triggers.eval_trigger_2__x_trigger.x_bit_match_15_.r_ctrl_RR_RULE1_/pin:din5
INFO: Disconnected unnecessary SOURCE1_T Vdd_src1_1 from LUT6_T debugger.x_snapshot.x_monitor.x_all_triggers.eval_trigger_2__x_trigger.x_bit_match_16_.r_ctrl_RR_RULE1_/pin:din5
INFO: Disconnected unnecessary SOURCE1_T Vdd_src1_1 from LUT6_T debugger.x_snapshot.x_monitor.x_all_triggers.eval_trigger_2__x_trigger.x_bit_match_17_.r_ctrl_RR_RULE1_/pin:din5
INFO: Disconnected unnecessary SOURCE1_T Vdd_src1_1 from LUT6_T debugger.x_snapshot.x_monitor.x_all_triggers.eval_trigger_2__x_trigger.x_bit_match_18_.r_ctrl_RR_RULE1_/pin:din5
INFO: Disconnected unnecessary SOURCE1_T Vdd_src1_1 from LUT6_T debugger.x_snapshot.x_monitor.x_all_triggers.eval_trigger_2__x_trigger.x_bit_match_19_.r_ctrl_RR_RULE1_/pin:din5
INFO: Disconnected unnecessary SOURCE1_T Vdd_src1_1 from LUT6_T debugger.x_snapshot.x_monitor.x_all_triggers.eval_trigger_2__x_trigger.x_bit_match_20_.r_ctrl_RR_RULE1_/pin:din5
INFO: Disconnected unnecessary SOURCE1_T Vdd_src1_1 from LUT6_T debugger.x_snapshot.x_monitor.x_all_triggers.eval_trigger_2__x_trigger.x_bit_match_21_.r_ctrl_RR_RULE1_/pin:din5
INFO: Disconnected unnecessary SOURCE1_T Vdd_src1_1 from LUT6_T debugger.x_snapshot.x_monitor.x_all_triggers.eval_trigger_2__x_trigger.x_bit_match_22_.r_ctrl_RR_RULE1_/pin:din5
